,매장명,주소,전화번호
116,다이소 난곡사거리점,남부순환로 1474,02-867-6016
117,다이소 발산역점,서울특별시 강서구,02-2658-6016
118,다이소 영동프라자점,논현동 강남대로128길 20,02-515-6018
119,다이소 대림사거리점,신대방동 607-26번지 1층 1호,02-848-0719
120,다이소 수유역점,번동 446-14,02-907-6016
121,다이소 GS슈퍼관악점,청룡동 쑥고개로 111 LG수퍼마켓봉천점,02-873-0637
122,다이소 상도점,상도제1동 상도로 277,02-3280-6022
123,다이소 대신시장점,신길동 110-5번지 지하1층 B동 01호 태화빌딩 영등포구 서울특별시 KR,02-831-2135
124,다이소 홍제역점,홍제동 161-1,
125,다이소 사당1호점,사당제1동 동작대로 43,02-582-6016
126,다이소 현대백화점디큐브시티점,신도림동 경인로 662 디큐브시티,02-2210-9741
127,다이소 이수점,사당동 134-3,02-535-6016
128,다이소 하나로마트성산점,성산동 월드컵북로 233,
129,다이소 옥수역점,동호로 21,02-2292-6016
130,다이소 불광역점,대조동 통일로67길 3 상일빌딩,02-353-6016
131,다이소 종각점,종로 66,02-735-6016
132,다이소 암사점,서울특별시 암사1동 암사동 502-19번지 강동구 서울특별시,02-441-6016
133,다이소 당산점,당산동5가 양평로 49 대림빌딩,02-3667-6016
134,다이소 방배역점,방배동 효령로 117 한성빌딩,02-525-6016
135,다이소 내방역점,방배동 서초대로24길 3,02-584-6019
136,다이소 효창공원점,용문동 효창원로 112,02-715-5001
137,다이소 강남역2호점,02-3452-6016,
138,다이소 쌍문역점,도봉로 491,02-902-6016
139,다이소 응암역점,02-304-6016,
140,다이소 별내점,경기도 남양주시,031-528-1088
141,다이소 경기광주본점,경기도 광주시,031-798-6016
142,다이소 구리갈매점,산마루로 6,031-575-6016
143,다이소 미사조정경기장점,경기도 하남시,031-792-6017
144,다이소 별내본점,경기도 남양주시,031-529-6016
145,다이소 경기광주초월점,경기도 광주시,031-797-6016
146,다이소 경기광주퇴촌점,경기도 광주시,
147,다이소 의정부역서부점,경기도 의정부시,031-877-6016
148,다이소 망월사역점,호원동 454-18번지 의정부시 경기도 KR,031-877-7928
149,다이소별내북부점,경기도 남양주시,031-572-3380
150,다이소 곤지암점,곤지암읍 곤지암리 434-2번지 광주시 경기도 KR,031-762-6376
151,다이소경기광주신현점,경기도 광주시,031-711-4225
152,다이소 의정부금오점,경기도 의정부시,031-853-6016
153,다이소 경기마트길음점,서울특별시 성북구,02-942-0066
154,다이소 과천점,경기도 과천시,02-504-6017
155,다이소 구리인창동점,동구릉로 63번길,031-567-6016
156,다이소 공릉점,서울특별시 노원구,02-976-0006
157,다이소 의정부민락점,경기도 의정부시,031-852-6016
158,다이소 양주고읍점,경기도 양주시,031-848-6016
159,다이소 도농역점,경기도 남양주시,031-552-6016
160,다이소 구리토평점,토평동 벌말로 114,031-556-6016
161,다이소 의정부점,031-846-6016,
162,다이소 노원문화의거리점,서울특별시 노원구,02-935-6016
163,다이소 석계역점,서울특별시 노원구,02-943-5394
164,다이소 일산위시티점,경기도 고양시,031-967-6016
165,다이소 부천상동역점,경기도 부천시,032-324-6016
166,다이소 의정부회룡점,경기도 의정부시,031-871-6016
167,다이소 의정부3호점,경기도 의정부시,031-837-6016
168,다이소 굿모닝마트신곡점,경기도 의정부시,02-405-0800
169,다이소 부천본점,경기도 부천시,032-611-6016
170,다이소 성남태평점,경기도 성남시,031-753-6014
171,다이소 용인보정점,경기도 용인시,031-897-6870
172,다이소 수유본점,서울특별시 강북구,
173,다이소 의왕오전점,031-456-7667,
174,다이소 다산신도시점,경기도 남양주시,
175,다이소 광명사거리점,경기도 광명시,02-2616-6016
176,다이소 의정부녹양점,경기도 의정부시,031-836-6016
177,다이소 죽전사거리점,경기도 용인시,
178,다이소 구리역점,인창동 676-6,031-556-6010
179,다이소 군포당동점,경기도 군포시,031-396-5230
180,다이소 하남미사점,경기도 하남시,031-795-6017
181,다이소 수원탑동점,권선구 탑동 748-2번지 수원시 경기도 KR,031-8013-2202
182,다이소시흥대야점,경기도 시흥시,031-315-6017
183,다이소 퇴계원점,경기도 남양주시,031-527-2066
184,다이소 스타필드위례점,경기도 하남시,
185,다이소 진건점,경기도 남양주시,031-527-2340
186,다이소 용인성복점,경기도 용인시,031-263-7090
187,다이소 송내역점,경기도 부천시,032-665-6016
188,다이소 용인흥덕점,경기도 용인시,050-71304-7801
189,다이소,경기도 양주시,
190,다이소 박달점,경기도 안양시,031-441-0080
191,다이소 수원대점,경기도 화성시,031-226-9670
192,다이소 용인양지점,경기도 용인시,031-338-7959
193,다이소 AK&기흥점,경기도 용인시,031-282-6016
194,다이소 은행사거리점,수정구 양지동 532번지 성남시 경기도 KR,031-741-4255
195,다이소 세이브존 화정점,경기도 고양시,031-978-9000
196,다이소 구리2호점,수택동 417-2,031-566-6016
197,다이소 상왕십리역점,서울특별시 성동구,02-2299-6016
198,다이소 GS슈퍼능곡점,경기도 고양시,031-971-5852
199,다이소 상록수역점,경기도 안산시,
200,다이소,처인구 포곡읍 둔전리 190-11번지 101호 용인시 경기도 KR,031-334-0217
201,다이소 양평양수리점,경기도 양평군,010-9923-6940
202,다이소 상일동역점,서울특별시 강동구,02-426-6016
203,다이소 단대오거리점,경기도 성남시,031-744-6016
204,다이소,경기도 광주시,
205,다이소 궐동점,경기도 오산시,031-375-7128
206,다이소 동탄점,경기도 화성시,031-8003-6016
207,다이소 롯데마트화정점,경기도 고양시,
208,다이소 하남덕풍점,경기도 하남시,070-4843-1333
209,다이소,경기도 광주시,
210,다이소 용인송전점,경기도 용인시,031-338-0007
211,다이소 도봉점,서울특별시 도봉구,02-955-3527
212,다이소롯데마트의정부점,경기도 의정부시,031-852-2017
213,다이소 GS슈퍼명일점,서울특별시 강동구,
214,다이소 노원본점,서울특별시 노원구,02-930-5031
215,다이소 금호금남시장점,서울특별시 성동구,02-2298-6015
216,다이소 구갈점,경기도 용인시,031-287-6017
217,다이소 중계역점,서울특별시 노원구,
218,다이소 종암점,서울특별시 성북구,070-7565-3320
219,다이소 용인강남대점,기흥구 구갈동 581번지 203호 용인시 경기도 KR,031-287-0603
220,다이소 고덕점,서울특별시 강동구,02-3426-6016
221,다이소 일산백마점,경기도 고양시,
222,Daiso,경기도 남양주시,
223,다이소 쌍문세라믹사거리점,영업 중 ⋅ 오후 10:00에 영업 종료,
224,다이소 스타필드고양점,경기도 고양시,031-5173-0010
225,다이소 성남모란점,경기도 성남시,031-722-6016
226,다이소 둔촌동역점,서울특별시 강동구,02-471-6016
227,다이소 답십리점,서울특별시 성동구,02-3394-6015
228,다이소 김포장기점,경기도 김포시,031-989-6016
229,다이소 삼양시장점,서울특별시 강북구,
230,다이소 성남신흥역점,경기도 성남시,031-732-6015
231,다이소 대지시장점,서울특별시 강북구,02-988-6016
232,다이소 강북구청사거리점,서울특별시 강북구,
233,다이소 상봉역점,서울특별시 중랑구,
234,다이소 하남시청점,031-795-6016,
235,다이소화성조암점,경기도 화성시,031-358-9670
236,다이소 성남고등지구점,성남시,031-755-2911
237,다이소 성남중앙로점,경기도 성남시,031-723-6019
238,다이소 원당점,경기도 고양시,031-967-6018
239,다이소 동탄반송점,경기도 화성시,
240,다이소시흥정왕시장점,031-431-0082,
241,다이소 죽전본점,경기도 용인시,031-272-6016
242,다이소 외대역점,서울특별시 동대문구,02-963-6016
243,다이소 가천대점,경기도 성남시,
244,다이소 위례본점,서울특별시 송파구,02-430-6016
245,다이소 굿모닝마트오남2호점,경기도 남양주시,
246,다이소 화성봉담2호점,경기도 화성시,
247,다이소 천호본점,02-475-6016,
248,다이소 금곡점,금곡동 427-31번지 1층 남양주시 경기도 KR,
249,Daiso,031-767-4588,
250,다이소 옥수역점,서울특별시 성동구,02-2292-6016
251,다이소 정릉시장점,서울특별시 성북구,
252,다이소 송파파크하비오점,서울특별시 송파구,02-403-6016
253,다이소 고양행신점,경기도 고양시,031-974-6016
254,다이소 평택세교점,경기도 평택시,031-691-6016
255,다이소 송탄바로E마트,경기도 평택시,031-611-3637
256,다이소 일산웨스턴돔점,경기도 고양시,031-902-6015
257,다이소 평택포승점,경기도 평택시,031-681-9749
258,다이소 안암동점,서울특별시 성북구,02-925-6016
259,다이소 번동점,서울특별시 강북구,02-982-6016
260,다이소 인천송도1호점,인천광역시 연수구,032-831-7486
261,다이소 인천동춘점,인천광역시 연수구,032-822-8628
262,다이소 인천만수점,영업 중 ⋅ 오후 9:00에 영업 종료,
263,다이소인천당하점,인천광역시 서구,032-565-6017
264,다이소인천갈산점,인천광역시 부평구,031-361-9670
265,다이소 인천불로동점,인천광역시 서구,032-562-6017
266,다이소 인천신기사거리점,인천광역시 미추홀구,
267,다이소 인천검암점,인천광역시 서구,032-563-6017
268,다이소 인천도화동점,인천광역시 미추홀구,
269,다이소인천논현점,인천광역시 남동구,032-442-6016
270,다이소 인천서창점,인천광역시 남동구,032-462-6016
271,다이소 인천청라2호점,인천광역시 서구,032-561-6019
272,다이소 인천검단사거리역점,인천광역시 서구,032-567-6017
273,다이소 인천가정동점,인천광역시 서구,032-563-6016
274,다이소 인천용현시장점,인천광역시 미추홀구,032-888-7078
275,다이소 인천가좌시장점,인천광역시 서구,032-576-6016
276,다이소 인천옥련시장점,인천광역시 연수구,032-831-6016
277,다이소 인천송림동,인천광역시 동구,032-764-6016
278,다이소 인천심곡동점,인천광역시 서구,032-564-6016
279,다이소 인천석남점,인천광역시 서구,032-571-1587
280,다이소인천석바위시장점,032-428-6016,
281,다이소 인천강남시장점,인천광역시 서구,032-578-6016
282,다이소 인천산곡점,인천광역시 부평구,
283,다이소 계산1호점,인천광역시 계양구,032-544-6015
284,다이소 간석점,인천광역시 남동구,032-466-6016
285,다이소 송도트리플스트리트점,인천광역시 연수구,032-310-9698
286,다이소 인천구월본점,인천광역시 남동구,
287,다이소 인천주안역점,인천광역시 미추홀구,032-422-6015
288,다이소 부평시장점,인천광역시 부평구,032-514-6016
289,다이소 주안역점,인천광역시 미추홀구,032-864-6016
290,다이소 인천청학점,인천광역시 연수구,
291,다이소,구월동 1130번지 지하2층 남동구 인천광역시 KR,
292,다이소,인천광역시 서구,
293,다이소동인천점,지금 영업 중,
294,다이소 인천운서동점,인천광역시 중구,032-746-6016
295,다이소 부개3호점,부개동 12-112번지 2층 부평구 인천광역시 KR,032-505-2225
296,다이소,인천광역시 서구,032-583-6015
297,다이소 계산삼거리점,인천광역시 계양구,032-541-6016
298,다이소 병방시장점,인천광역시 계양구,032-541-6588
299,다이소 신포지하상가점,인천광역시 중구,032-765-6763
300,다이소 인천산곡역점,인천광역시 부평구,
301,다이소,인천광역시 남동구,032-446-6017
302,다이소 인천대입구역점,인천광역시 연수구,050-71379-6021
303,다이소 인천호구포점,인천광역시 남동구,032-428-5500
304,다이소 부평2호점,인천광역시 부평구,032-504-6016
305,다이소 경인교대점,인천광역시 계양구,032-544-6017
306,다이소 간석점,인천광역시 남동구,032-466-6016
307,다이소 영종하늘도시점,인천광역시 중구,032-752-6016
308,다이소 부평역남부점,인천광역시 부평구,
309,다이소 롯데마트삼산점,인천광역시 부평구,032-363-2116
310,다이소 인천연안부두점,인천광역시 중구,010-4640-2407
311,다이소 부평시장역점,인천광역시 부평구,032-503-6016
312,다이소 모래내시장점,032-469-6016,
313,다이소 작전역점,인천광역시 계양구,032-545-1016
314,다이소 인하대점,영업 중 ⋅ 오후 10:00에 영업 종료,
315,다이소 간석사거리점,032-429-6016,
316,다이소 강화본점,인천광역시 강화군,032-932-9602
317,다이소 롯데마트계양점,계산동 1059-1번지 12층 계양구 인천광역시 KR,
318,다이소 롯데마트검단점,인천광역시 서구,032-563-6018
319,다이소만수3지구점,인천광역시 남동구,032-765-4700
320,다이소 속초본점,강원도 속초시,
321,다이소 강릉내곡점,강원도 강릉시,033-643-1137
322,다이소 횡성점,강원도 횡성군,033-345-4955
323,다이소 원주단계점,강원도 원주시,033-742-1161
324,다이소 강릉중앙점,강원도 강릉시,033-645-5659
325,다이소 춘천온의점,강원도 춘천시,033-254-6016
326,다이소 강릉홍제점,강원도 강릉시,033-642-4254
327,다이소 춘천소양로점,강원도 춘천시,033-251-6016
328,다이소 원주기업도시점,강원도 원주시,033-731-6016
329,다이소홍천2호점,강원도 홍천군,
330,다이소,강원도 춘천시,
331,다이소 춘천후평점,강원도 춘천시,033-241-6017
332,다이소 동해천곡점,강원도 동해시,033-535-6016
333,다이소 원주행구점,강원도 원주시,033-900-5350
334,다이소 홍천점,강원도 홍천군,033-433-2090
335,다이소 속초점,강원도 속초시,033-631-6016
336,다이소,강원도 태백시,033-552-6016
337,다이소 강릉교동점,강원도 강릉시,033-655-6016
338,다이소 영월점,강원도 영월군,033-374-3377
339,다이소 원주혁신점,강원도 원주시,050-71398-6016
340,다이소 상지대사거리점,강원도 원주시,033-746-7336
341,다이소 원주무실점,강원도 원주시,033-744-6016
342,다이소 동해효가점,강원도 동해시,033-521-8030
343,다이소 주문진점,강원도 강릉시,033-662-4254
344,다이소 속초 교동점,강원도 속초시,033-631-4250
345,다이소 원주중앙시장점,강원도 원주시,
346,다이소인제점,033-462-5545,
347,다이소 굿모닝마트속초점,강원도 속초시,033-635-5000
348,다이소 화천점,강원도 화천군,033-442-5522
349,다이소 원주단구점,강원도 원주시,033-762-6016
350,다이소 신철원점,강원도 철원군,033-452-6240
351,다이소 원주문막점,강원도 원주시,033-734-2132
352,ダイソー,강원도 춘천시,
353,다이소 춘천퇴계점,033-262-2091,
354,다이소 롯데마트석사점,강원도 춘천시,
355,다이소삼척점,033-574-8008,
356,다이소 철원동송점,033-455-1408,
357,다이소 원마트강릉점,강원도 강릉시,
358,Daiso,강원도 강릉시,033-655-6000
359,다이소양구점,강원도 양구군,033-482-0039
360,다이소 경기광주본점,경기도 광주시,031-798-6016
361,다이소 경기광주초월점,경기도 광주시,031-797-6016
362,다이소경기광주신현점,경기도 광주시,031-711-4225
363,다이소 경기광주퇴촌점,경기도 광주시,
364,다이소,경기도 광주시,
365,다이소 곤지암점,곤지암읍 곤지암리 434-2번지 광주시 경기도 KR,031-762-6376
366,다이소,경기도 광주시,
367,Daiso,031-767-4588,
368,다이소 금호금남시장점,서울특별시 성동구,02-2298-6015
369,다이소 광주금호점,광주광역시 서구,062-655-6016
370,다이소 별내점,경기도 남양주시,031-528-1088
371,다이소 광주쌍암점,광주광역시 광산구,
372,다이소 광주첨단점,광주광역시 광산구,062-972-6016
373,다이소 광주말바우시장점,광주광역시 북구,062-261-6019
374,다이소 광주매곡점,광주광역시 북구,
375,다이소 광주운남삼거리점,광주광역시 광산구,062-956-6017
376,다이소 광주호남대점,광주광역시 광산구,062-944-6016
377,다이소 광주비엔날레점,광주광역시 북구,062-529-6243
378,다이소 광주봉선2호점,광주광역시 남구,062-651-6016
379,다이소 광주운암점,광주광역시 북구,062-529-6016
380,다이소 광주송정점,광주광역시 광산구,
381,다이소 광주월곡점,광주광역시 광산구,062-961-0091
382,다이소 의정부금오점,경기도 의정부시,031-853-6016
383,다이소 광주수완2호점,광주광역시 광산구,062-954-6016
384,다이소 광주수완점,광주광역시 광산구,062-953-6017
385,다이소 중곡역점,서울특별시 광진구,02-461-6016
386,다이소광주진월점,062-652-0866,
387,다이소 광주일곡점,광주광역시 북구,062-576-6015
388,다이소 의정부역서부점,경기도 의정부시,031-877-6016
389,다이소 노원문화의거리점,서울특별시 노원구,02-935-6016
390,다이소 광주평동점,광주광역시 광산구,062-946-1212
391,다이소 의정부점,031-846-6016,
392,다이소 군자역점,서울특별시 광진구,02-456-6016
393,다이소 광주삼각점,광주광역시 북구,062-263-1379
394,다이소 광주효천1지구점,광주광역시 남구,
395,Daiso,광주광역시 동구,062-222-6016
396,다이소 망월사역점,호원동 454-18번지 의정부시 경기도 KR,031-877-7928
397,다이소 쌍문역점,서울특별시 도봉구,02-902-6016
398,다이소 롯데슈퍼풍암점,광주광역시 서구,062-652-5601
399,다이소 상무점,광주광역시 서구,
400,다이소광주지석점,광주광역시 남구,
401,다이소 별내본점,경기도 남양주시,031-529-6016
402,다이소 쌍문세라믹사거리점,영업 중 ⋅ 오후 10:00에 영업 종료,
403,다이소 도봉점,서울특별시 도봉구,02-955-3527
404,다이소 의정부3호점,경기도 의정부시,031-837-6016
405,다이소 공릉점,서울특별시 노원구,02-976-0006
406,다이소 굿모닝마트신곡점,경기도 의정부시,02-405-0800
407,다이소 아차산역점,서울특별시 광진구,
408,다이소 대지시장점,서울특별시 강북구,02-988-6016
409,다이소 번동점,서울특별시 강북구,02-982-6016
410,다이소 광주하남지구점,광주광역시 광산구,
411,다이소 의정부녹양점,경기도 의정부시,031-836-6016
412,다이소 명동본점,서울특별시 중구,02-3789-6016
413,다이소 하나로클럽광주수완점,광주광역시 광산구,
414,다이소신창점,신창동 1239-6번지 1층 광산구 광주광역시 KR,062-962-6016
415,아성다이소 광주월산점,광주광역시 남구,062-366-6016
416,다이소 노원본점,서울특별시 노원구,02-930-5031
417,다이소 옥수역점,서울특별시 성동구,02-2292-6016
418,다이소 둔촌동역점,서울특별시 강동구,02-471-6016
419,다이소 구리갈매점,산마루로 6,031-575-6016
420,다이소 대전본점,용전동 동서대로1695번길 8,042-621-6016
421,다이소대전둔산타임월드점,둔산로 25,042-487-6017
422,다이소 대전시청점,둔산동 1493,042-472-6017
423,다이소 대전문화점,문화동 284-31,
424,다이소 대전선사점,월평2동 청사로123번길 41,042-484-9101
425,다이소 대전신성점,신성남로 43,042-863-6016
426,다이소대전산성점,대둔산로 381,042-581-0307
427,다이소 대전상대점,월드컵대로316번길 30,042-368-9393
428,다이소 대전중촌네거리점,대종로 625,042-253-6016
429,다이소 대전죽동점,죽동로 291,042-867-6016
430,다이소 대전도마2호점,도마동 127-8,042-533-6016
431,다이소 대전노은점,대전광역시 유성구,042-822-6016
432,다이소 대전송촌점,동춘당로94번길 11-21,042-638-9108
433,다이소 대전갈마2호점,신갈마로 187,
434,다이소대전목원대점,대전광역시 서구,042-826-5959
435,다이소 대전오류점,대전광역시 중구,042-537-6010
436,다이소 대전과기대점,복수남로 49,042-584-2156
437,다이소 갈마점,갈마로 69,
438,다이소 전민점,전민동 303-8,042-861-6016
439,다이소 대전유성온천역점,대학로 10,
440,다이소 대전오룡점,오류동 동서대로 1307,042-536-6016
441,다이소 대전가수원점,계백로 1135,042-543-6016
442,다이소 대전사무실,가양2동 423-9,042-638-6016
443,다이소 대전관평점,관평동 804,
444,다이소대전판암점,옥천로 122,
445,다이소 대전월평점,월평로 58,
446,다이소 대전배재대점,도마1동 24-47,042-523-6016
447,다이소 내동점,내동 160-19,042-528-6016
448,다이소대전원내점,원내동 100-7,042-544-6680
449,다이소 대전중앙로역점,042-255-6016,
450,다이소 대전갈마점,갈마2동 394-1,042-524-6016
451,다이소 대전용문점,용문동 589-5,042-537-6019
452,다이소대전관저점,관저중로80번길 2,042-542-7308
453,다이소 대전태평점,영업 중 ⋅ 오후 10:00에 영업 종료,
454,다이소대전산내점,낭월동 459번지 1층,
455,다이소 대전반석점,북유성대로316번길 11,042-826-6017
456,다이소 대전가오점,가오동 374-3,
457,다이소 대전중리점,042-639-1008,
458,다이소,학하서로121번길 55-13,
459,다이소 유성홈플러스 유성점,봉명동 669,042-826-6016
460,다이소 울산삼산본점,화합로 146,052-257-6016
461,다이소 울산무거점,대학로 126,052-223-6016
462,다이소 울산덕신점,온산읍 온덕2길 50,052-238-4471
463,다이소 울산서동점,동천서로 56,052-286-6016
464,다이소 울산태화루점,태화동 37-15,052-248-6016
465,다이소 울산병영점,곽남길 4,052-292-6016
466,다이소 울산호계점,호계동 호계로 254,052-292-6177
467,다이소울산태화동점,태화동 420-6,052-245-7233
468,다이소 울산방어진점,울산광역시 동구,052-201-6016
469,다이소울산옥동점,옥동 249-7,
470,다이소 울산구영점,범서읍 구영리 716-2,052-245-2229
471,다이소 울산상안동점,천곡동 416-7,
472,다이소 울산성남점,옥교동 시계탑거리 23,052-245-6016
473,다이소 울산신천점,농소2동 480-1,052-281-6016
474,다이소 울산신정점,신정동 177-13,052-275-6016
475,다이소 울산남목점,서부동 방어진순환도로 1133,052-251-6016
476,다이소 롯데마트울산점,삼산로 74,052-274-6017
477,다이소 울산서부상가점,서부동 257-5,052-201-6016
478,다이소 천상점,범서읍 천상길 12,052-245-0870
479,다이소 울산언양점,서부리 257-11 KR 울산광역시 울주군 언양읍 방천8길24가동402호,
480,다이소 음성혁신도시점,충청북도 음성군,
481,다이소 충북단양점,충청북도 단양군,043-421-3421
482,다이소 음성감곡점,043-883-0458,
483,다이소 충주점,충청북도 충주시,043-846-6016
484,다이소 광혜원점,충청북도 진천군,043-535-5979
485,다이소 보은점,충청북도 보은군,043-542-7149
486,다이소 청주오송점,충청북도 청주시,043-235-6017
487,다이소 음성점,043-873-8254,
488,다이소 영동점,충청북도 영동군,
489,다이소,충청북도 청원군,043-234-6012
490,다이소 오창점,충청북도 청주시,043-213-6016
